Sample	Complete and single-copy BUSCOs	Fragmented BUSCOs	Complete and duplicated BUSCOs	Missing BUSCOs
short_summary.specific.achromobacter_odb12.P5890_PCD_24062024-0	2479	5	6	40
short_summary.specific.achromobacter_odb12.P5690_PCD_11062024-0	2504	9	3	14
short_summary.specific.achromobacter_odb12.P5590_PCD_26072024-0	2501	6	1	22
short_summary.specific.achromobacter_odb12.P5590_PCD_20032024-0	2520	4	1	5
short_summary.specific.achromobacter_odb12.P4290_PCD_28112022-0	2502	4	5	19
short_summary.specific.achromobacter_odb12.P4290_PCD_08032024-0	2474	19	5	32
short_summary.specific.achromobacter_odb12.P3890_PCD_24082022-0	2526	1	1	2
short_summary.specific.achromobacter_odb12.P3590_PCD_20052022-0	2477	15	3	35
short_summary.specific.achromobacter_odb12.P3490_PCD_21022022-0	2515	5	4	6
short_summary.specific.achromobacter_odb12.P3390_PCD_30092020-0	2462	22	4	42
short_summary.specific.achromobacter_odb12.P3390_PCD_19082024-0	2489	8	4	29
short_summary.specific.achromobacter_odb12.P3390_PCD_08032024-0	2479	12	1	38
short_summary.specific.achromobacter_odb12.P3090_PCD_20072020-0	2413	13	4	100
short_summary.specific.achromobacter_odb12.P2990_PCD_20012023-0	2495	9	3	23
short_summary.specific.achromobacter_odb12.P2990_PCD_14072020-0	2466	13	3	48
short_summary.specific.achromobacter_odb12.P2890_PCD_12062020-0	2471	16	5	38
short_summary.specific.achromobacter_odb12.P2790_PCD_09062020-0	2480	13	2	35
short_summary.specific.achromobacter_odb12.P2690_PCD_05112019-0	2494	11	3	22
short_summary.specific.achromobacter_odb12.P2590_PCD_29102019-0	2481	13	6	30
short_summary.specific.achromobacter_odb12.P2590_PCD_12072023-0	2506	4	3	17
short_summary.specific.achromobacter_odb12.P2590_PCD_03072024-0	2506	4	3	17
short_summary.specific.achromobacter_odb12.P2590_PCD_02022023-0	2484	9	4	33
short_summary.specific.achromobacter_odb12.P2090_PCD_22032022-0	2464	23	5	38
short_summary.specific.achromobacter_odb12.P2090_PCD_18012021-0	2447	26	5	52
short_summary.specific.achromobacter_odb12.P2090_PCD_17012024-0	2433	15	5	77
short_summary.specific.achromobacter_odb12.P2090_PCD_15032023-0	2283	13	4	230
short_summary.specific.achromobacter_odb12.P2090_PCD_03082020-0	2424	11	5	90
short_summary.specific.achromobacter_odb12.P1990_PCD_28042023-0	2496	9	8	17
short_summary.specific.achromobacter_odb12.P1990_PCD_24032022-0	2472	22	7	29
short_summary.specific.achromobacter_odb12.P1990_PCD_15032024-0	2509	5	7	9
short_summary.specific.achromobacter_odb12.P1890_PCD_22022022-0	2503	7	3	17
short_summary.specific.achromobacter_odb12.P1890_PCD_04102022-0	2502	4	3	21
short_summary.specific.achromobacter_odb12.P1590_PCD_10012022-0	2449	15	8	58
short_summary.specific.achromobacter_odb12.P1490_PCD_27082020-0	2474	14	4	38
short_summary.specific.achromobacter_odb12.P1490_PCD_09122016-0	2454	14	2	60
short_summary.specific.achromobacter_odb12.P1090_PCD_23092021-0	2436	12	3	79
short_summary.specific.achromobacter_odb12.P0890_PCD_31102022-1	2506	6	3	15
short_summary.specific.achromobacter_odb12.P0890_PCD_31102022-0	2490	8	3	29
short_summary.specific.achromobacter_odb12.P0890_PCD_27092023-0	2428	6	3	93
short_summary.specific.achromobacter_odb12.P0890_PCD_18032022-0	2457	24	3	46
short_summary.specific.achromobacter_odb12.P0890_PCD_08062021-0	2481	16	3	30
short_summary.specific.achromobacter_odb12.P0790_PCD_28102024-0	2496	6	5	23
short_summary.specific.achromobacter_odb12.P0790_PCD_27062022-1	2456	27	5	42
short_summary.specific.achromobacter_odb12.P0790_PCD_27062022-0	2466	23	4	37
short_summary.specific.achromobacter_odb12.P0790_PCD_20062024-0	2496	7	5	22
short_summary.specific.achromobacter_odb12.P0790_PCD_19052020-0	2439	12	5	74
short_summary.specific.achromobacter_odb12.P0790_PCD_07012022-0	2454	24	5	47
short_summary.specific.achromobacter_odb12.P0690_PCD_29012021-0	2456	28	3	43
short_summary.specific.achromobacter_odb12.P0690_PCD_19072024-0	2505	6	4	15
short_summary.specific.achromobacter_odb12.P0690_PCD_18022022-0	2472	23	4	31
short_summary.specific.achromobacter_odb12.P0690_PCD_14042023-0	2482	14	4	30
short_summary.specific.achromobacter_odb12.P0690_PCD_10122023-0	2474	6	4	46
short_summary.specific.achromobacter_odb12.P0290_PCD_28022016-1	2492	17	1	20
short_summary.specific.achromobacter_odb12.P0290_PCD_28022016-0	2474	13	1	42
