Sample	Complete and single-copy BUSCOs	Fragmented BUSCOs	Complete and duplicated BUSCOs	Missing BUSCOs
short_summary.specific.achromobacter_odb12.P5890_PCD_24062024-0	97.98418972332016	0.1976284584980237	0.23715415019762848	1.5810276679841897
short_summary.specific.achromobacter_odb12.P5690_PCD_11062024-0	98.97233201581027	0.3557312252964427	0.11857707509881424	0.5533596837944664
short_summary.specific.achromobacter_odb12.P5590_PCD_26072024-0	98.85375494071145	0.23715415019762848	0.039525691699604744	0.8695652173913043
short_summary.specific.achromobacter_odb12.P5590_PCD_20032024-0	99.60474308300395	0.15810276679841898	0.039525691699604744	0.1976284584980237
short_summary.specific.achromobacter_odb12.P4290_PCD_28112022-0	98.89328063241106	0.15810276679841898	0.1976284584980237	0.7509881422924901
short_summary.specific.achromobacter_odb12.P4290_PCD_08032024-0	97.78656126482214	0.7509881422924901	0.1976284584980237	1.2648221343873518
short_summary.specific.achromobacter_odb12.P3890_PCD_24082022-0	99.84189723320158	0.039525691699604744	0.039525691699604744	0.07905138339920949
short_summary.specific.achromobacter_odb12.P3590_PCD_20052022-0	97.90513833992095	0.592885375494071	0.11857707509881424	1.383399209486166
short_summary.specific.achromobacter_odb12.P3490_PCD_21022022-0	99.40711462450594	0.1976284584980237	0.15810276679841898	0.23715415019762848
short_summary.specific.achromobacter_odb12.P3390_PCD_30092020-0	97.31225296442688	0.8695652173913043	0.15810276679841898	1.6600790513833994
short_summary.specific.achromobacter_odb12.P3390_PCD_19082024-0	98.3794466403162	0.31620553359683795	0.15810276679841898	1.1462450592885376
short_summary.specific.achromobacter_odb12.P3390_PCD_08032024-0	97.98418972332016	0.47430830039525695	0.039525691699604744	1.5019762845849802
short_summary.specific.achromobacter_odb12.P3090_PCD_20072020-0	95.37549407114625	0.5138339920948617	0.15810276679841898	3.9525691699604746
short_summary.specific.achromobacter_odb12.P2990_PCD_20012023-0	98.61660079051383	0.3557312252964427	0.11857707509881424	0.9090909090909091
short_summary.specific.achromobacter_odb12.P2990_PCD_14072020-0	97.4703557312253	0.5138339920948617	0.11857707509881424	1.8972332015810278
short_summary.specific.achromobacter_odb12.P2890_PCD_12062020-0	97.66798418972333	0.6324110671936759	0.1976284584980237	1.5019762845849802
