RecordID_1	RecordID_2	Record1_Len	Record2_Len	MaxJaccardContain
tssM	group_3072	3807	315	1.0
tssM	group_2217	3807	642	1.0
group_6814	group_7013	1164	102	1.0
group_5826	group_69	12303	2871	1.0
group_5621	group_3300	1803	225	1.0
group_3512	group_3017	1410	339	1.0
group_3203	group_6000	264	1752	1.0
group_26	group_3062	3438	321	1.0
group_2558	vgrG~~~vgrG1	504	2883	1.0
group_1811	group_14	780	5988	1.0
group_1475	group_650	900	1260	0.9712643678160919
group_1793	group_6303	786	1638	0.9708994708994709
group_5313	group_2559	3186	504	0.9472573839662447
group_1374	group_5996	924	1368	0.9440715883668904
group_310	group_2736	1686	435	0.9382716049382716
group_572	group_2730	1329	438	0.9338235294117647
group_6158	group_1658	1257	837	0.929368029739777
group_644	group_3074	1263	315	0.9157894736842105
group_3233	group_645	249	1263	0.8812785388127854
group_2232	group_2209	636	645	0.8663366336633663
ohrB~~~osmC	group_3496	429	96	0.8484848484848485
group_3871	group_3237	1191	249	0.8082191780821918
group_1770	group_1010	789	1035	0.7971014492753623
group_1135	group_1036	990	1023	0.74375
group_1703	group_1620	816	855	0.7417302798982188
group_5909	group_1349	1569	930	0.7322222222222222
acrA	group_2642	1149	471	0.6984126984126984
group_6939	group_6941	198	363	0.6845238095238095
mnmC	mnmD	1872	762	0.6653005464480874
group_2050	group_3499	702	90	0.65
group_3979	group_849	12693	1140	0.5333333333333333
group_5812	group_2191	930	651	0.533011272141707
group_3178	group_2852	273	396	0.522633744855967
oprJ	group_6724	1479	1059	0.5043731778425656
group_351	group_5	1626	8913	0.5031328320802005
group_2170	group_560	657	1341	0.48165869218500795
group_4576	group_2666	9798	462	0.4675925925925926
group_6759	group_7012	366	1593	0.46130952380952384
group_2473	group_3487	540	111	0.4567901234567901
group_3871	group_2227	1191	639	0.45648604269293924
group_3979	group_1956	12693	738	0.4533898305084746
ribB	group_5710	720	2049	0.4420289855072464
group_2152	group_7012	663	1593	0.4265402843601896
group_276	group_681	1755	1233	0.42144638403990026
group_983	group_6730	1050	222	0.4114583333333333
group_1265	group_3437	957	159	0.4108527131782946
group_3295	group_3164	225	279	0.41025641025641024
group_3395	group_5865	189	729	0.4025157232704403
group_6192	group_1956	12669	738	0.3983050847457627
group_173	group_3415	2157	177	0.3945578231292517
group_3143	group_3154	288	285	0.39215686274509803
group_3010	group_5	342	8913	0.3814102564102564
group_3010	group_351	342	1626	0.3814102564102564
group_3217	bamC	255	1125	0.37777777777777777
group_2724	group_2743	438	432	0.36318407960199006
group_162	group_3626	2205	5727	0.35908045977011493
vgrG1	group_4782	2925	2538	0.35685805422647526
group_3456	group_4176	144	1308	0.3508771929824561
group_5181	group_1513	894	891	0.34843205574912894
group_3195	group_7010	267	225	0.3333333333333333
group_4334	group_3243	1197	246	0.3194444444444444
group_2960	group_2961	357	357	0.3119266055045872
group_2667	proQ	462	1119	0.3101851851851852
group_6515	group_6538	729	651	0.2824302134646962
higA	group_3183	288	273	0.2674897119341564
group_4162	group_4593	1443	1443	0.2618542108987969
group_230	group_7082	1893	168	0.2608695652173913
group_1329	group_876	936	1128	0.25165562913907286
group_5118	group_5331	714	1938	0.25146198830409355
group_6554	group_6562	810	1473	0.24615384615384617
group_2775	group_2779	426	426	0.24242424242424243
group_1226	group_6220	969	1035	0.2417465388711395
group_6807	group_6992	411	225	0.24102564102564103
group_3247	group_3257	246	243	0.22535211267605634
group_3018	group_3262	336	240	0.22380952380952382
group_7093	group_1226	762	969	0.2226775956284153
group_4912	group_3423	1971	171	0.2198581560283688
group_4474	group_141	2289	2295	0.21868083222664897
group_5865	group_1991	729	729	0.21030042918454936
group_2712	group_2976	444	351	0.2087227414330218
group_7093	group_6220	762	1035	0.2062841530054645
group_6991	group_1620	891	855	0.20363636363636364
group_9	dltA	7860	15090	0.2030002752546105
group_780	group_2671	1182	462	0.1875
group_3953	group_1231	966	969	0.18696581196581197
tctD~~~ompR	ompR	777	777	0.18607764390896922
group_823	betI	1155	1806	0.184
group_2514	group_3357	519	204	0.1781609195402299
group_4321	group_5722	924	3762	0.17785234899328858
group_1195	group_1203	975	975	0.1746031746031746
group_2097	group_3487	687	111	0.1728395061728395
group_268	group_7019	1773	2673	0.1721170395869191
group_4576	group_3449	9798	150	0.16666666666666666
group_1891	group_2820	759	411	0.16535433070866143
group_5522	group_31	3342	3342	0.161231884057971
group_6977	group_1803	303	783	0.1575091575091575
group_4501	tar	1884	1731	0.1540270429159318
group_1546	group_3460	879	141	0.15315315315315314
group_1179	group_3686	978	978	0.1518987341772152
group_4887	group_75	2799	2784	0.1503267973856209
group_6458	group_6509	1686	345	0.1492063492063492
group_2801	group_3511	420	1452	0.14871794871794872
group_1880	group_6287	762	762	0.14754098360655737
group_6844	group_6853	405	573	0.144
group_4136	group_1301	930	945	0.14333333333333334
group_1661	group_6354	834	900	0.14303482587064675
group_4992	group_4667	1956	1713	0.13963161021984552
group_4576	group_3445	9798	153	0.13821138211382114
group_4264	group_5038	1083	1173	0.13770180436847104
group_1317	group_1319	939	939	0.13641364136413642
group_3080	group_3085	312	312	0.1347517730496454
group_6595	group_4665	1296	1362	0.13428120063191154
group_2654	group_2717	465	444	0.13285024154589373
icdM	group_158	2229	2229	0.13233287858117326
yxdL	group_6240	696	615	0.13162393162393163
group_681	group_623	1233	1281	0.12801330008312553
group_6848	group_6832	180	240	0.12666666666666668
group_6844	group_6826	405	768	0.12266666666666666
insO	group_2473	822	540	0.11960784313725491
group_7004	group_7005	177	711	0.11564625850340136
group_4884	group_4357	765	1479	0.11428571428571428
group_1790	group_868	786	1131	0.11375661375661375
group_2558	vgrG1	504	2925	0.10970464135021098
group_3143	group_3418	288	177	0.10884353741496598
group_5746	group_2964	504	357	0.10703363914373089
group_3290	group_3317	228	219	0.10582010582010581
group_4496	shlB	1749	1860	0.10529377545084351
group_3165	rspR	279	690	0.10441767068273092
group_6582	group_1803	1011	783	0.10358565737051793
yeeO	group_3441	1443	156	0.10317460317460317
group_2538	group_2180	510	654	0.10208333333333333
group_4393	group_1249	984	963	0.09967845659163987
group_202	group_203	2076	2076	0.09872922776148582
group_2093	group_3197	690	267	0.0970464135021097
group_6900	group_6902	699	750	0.09566517189835576
group_5823	group_4499	1359	1656	0.09405568096313018
group_2177	group_2173	654	657	0.09134615384615384
group_5802	group_5794	552	552	0.09003831417624521
group_3317	group_3069	219	318	0.08994708994708994
group_3397	group_4867	189	1269	0.0880503144654088
group_521	ribZ	1392	1413	0.08737151248164464
group_2223	group_5365	639	762	0.08702791461412152
blaI	group_2872	390	390	0.08611111111111111
group_1036	group_3093	1023	309	0.08602150537634409
group_6940	group_6997	336	366	0.08496732026143791
group_4551	ccoN	1488	1485	0.08453608247422681
group_4457	mdtC	885	3210	0.08421052631578947
group_6990	group_6989	894	402	0.08333333333333333
group_6193	group_943	1140	1080	0.08190476190476191
group_1487	dmlR	897	990	0.08189158016147635
group_3395	group_1991	189	729	0.08176100628930817
group_2852	group_2877	396	387	0.08123249299719888
group_1810	group_763	780	1191	0.08
group_1253	group_1257	960	960	0.07956989247311828
group_19	narG	3756	3762	0.07783145464304884
group_1343	group_1319	930	939	0.07777777777777778
group_2506	group_2507	522	522	0.07723577235772358
group_6926	group_6930	756	1692	0.07713498622589532
argP	hdfR	1014	1014	0.07621951219512195
degU	group_2150	672	663	0.07582938388625593
group_2469	group_2470	540	540	0.07450980392156863
group_7093	group_6219	762	666	0.07389937106918239
group_3400	group_3442	186	153	0.07317073170731707
group_3295	group_7009	225	507	0.07179487179487179
group_79	group_78	2706	2712	0.07137518684603886
vgrG~~~vgrG1	vgrG1	2883	2925	0.07080266386260077
group_5400	group_2066	273	699	0.06995884773662552
group_942	group_4564	1080	6051	0.06972301814708691
group_1767	group_2911	792	378	0.06896551724137931
group_2615	group_6708	480	480	0.06888888888888889
ccoS	group_3694	162	162	0.06818181818181818
group_200	group_202	2079	2076	0.06793743890518084
acfC	group_1789	786	786	0.06746031746031746
group_6853	group_6826	573	768	0.06629834254143646
group_1505	group_1514	891	891	0.06620209059233449
group_526	narK	1386	1386	0.06563421828908554
group_6740	group_7082	213	168	0.06521739130434782
group_1627	group_4980	852	843	0.06519065190651907
group_995	group_763	1044	1191	0.0641025641025641
group_227	group_2875	1902	390	0.06388888888888888
group_2993	group_6063	345	1287	0.06349206349206349
group_1410	group_5184	912	939	0.06349206349206349
dsbG	group_1845	774	771	0.06342780026990553
group_395	narH	1563	1569	0.06196999347684279
group_939	group_6135	1080	1158	0.06190476190476191
group_2371	group_2373	582	582	0.06159420289855073
group_7016	group_5694	1074	1959	0.06130268199233716
group_3919	group_2263	597	627	0.059964726631393295
group_4501	group_7080	1884	537	0.05917159763313609
group_5979	group_759	636	1191	0.057755775577557754
group_909	group_1085	1101	1002	0.056584362139917695
group_2098	group_2104	684	684	0.05657492354740061
group_887	group_851	1119	1140	0.05601469237832874
ccoQ	group_5897	177	174	0.05555555555555555
nepI	group_724	1209	1209	0.055178268251273345
group_2043	group_2025	705	714	0.054814814814814816
group_5038	group_5445	1173	2982	0.0542432195975503
vgrG~~~vgrG1	group_4782	2883	2538	0.05422647527910686
group_4674	nrtD	2259	924	0.053691275167785234
group_858	group_6053	1137	3429	0.053297199638663056
group_6711	group_3121	297	297	0.052434456928838954
cysL	group_5041	984	2229	0.05241090146750524
group_6094	group_4564	4941	6051	0.05219480235859358
group_1938	group_1943	741	741	0.052039381153305204
group_6635	group_6642	735	954	0.05106382978723404
group_1287	group_1413	948	912	0.05102040816326531
tgt	group_2227	1137	639	0.05090311986863711
group_4117	group_299	1728	1704	0.05017921146953405
group_5902	group_4684	993	429	0.05012531328320802
group_5271	glgX	2112	2112	0.0494716618635927
group_230	group_6740	1893	213	0.04918032786885246
group_84	ligD	2613	2682	0.04916763453348819
group_348	group_2108	1629	684	0.04892966360856269
group_6090	mrcA	2727	2448	0.04880066170388751
group_1404	group_1413	915	912	0.048752834467120185
opuE	group_2037	1401	708	0.048672566371681415
msrP	group_6655	792	792	0.048556430446194225
group_4501	group_7075	1884	528	0.04819277108433735
group_3164	group_3055	279	324	0.04819277108433735
group_2006	arsH	720	726	0.04782608695652174
tatB	group_4388	324	1659	0.047619047619047616
group_1504	group_3687	891	942	0.047619047619047616
group_4573	group_1873	726	765	0.04741379310344827
group_3687	group_2817	942	411	0.047244094488188976
group_561	group_2563	1338	501	0.04670912951167728
group_896	group_877	1113	1128	0.046168051708217916
group_132	group_5804	2382	744	0.04481792717086835
group_1437	group_1452	903	903	0.044673539518900345
group_5666	iclR~~~allR	546	807	0.044573643410852716
group_5737	chaA	1086	1086	0.04450757575757576
group_3951	group_2953	345	360	0.044444444444444446
papC	group_333	2445	1647	0.04390847247990105
siaT	dctM	1893	1881	0.04376012965964344
group_1071	cydB	1008	1008	0.04294478527607362
group_2697	group_2706	450	450	0.04285714285714286
group_777	group_785	1182	1179	0.04264577893820714
group_669	narT	1239	1308	0.0413564929693962
hisM	yhdY	1104	1104	0.040968342644320296
group_5026	group_1873	2346	765	0.04081632653061224
group_6140	group_2402	579	570	0.040740740740740744
phnI	group_6616	1116	1116	0.040515653775322284
group_3855	group_691	1521	1227	0.040100250626566414
group_2732	group_6617	435	435	0.03950617283950617
group_6305	soxR	465	465	0.03908045977011494
group_1664	group_1665	831	831	0.03870162297128589
decR	group_2640	477	471	0.03854875283446712
prpF	group_6613	1185	1185	0.0380952380952381
group_2160	group_2163	660	660	0.0380952380952381
group_1343	group_1317	930	939	0.03777777777777778
group_1599	group_1634	864	852	0.037712895377128956
ctaA	group_1000	1092	1041	0.03758654797230465
group_215	group_2752	2013	432	0.03731343283582089
argH	group_4541	1524	1521	0.03688799463447351
group_200	group_203	2079	2076	0.036656891495601175
group_5084	group_5319	744	1233	0.036414565826330535
group_1007	group_2798	1035	420	0.035897435897435895
group_6572	group_6722	840	840	0.03580246913580247
