Sample	ALIGNED	UNALIGNED	VARIANT	HET	LOWCOV
P5890_PCD_24062024-0	5894919	855322	46537	8640	7764
P5690_PCD_11062024-0	6115395	271040	47320	3393	7287
P5590_PCD_26072024-0	6190846	226253	40403	2826	14553
P5590_PCD_20032024-0	6204838	223087	41063	2217	3676
P4290_PCD_28112022-0	5957216	804279	37024	7643	7020
P4290_PCD_08032024-0	5790241	866478	36835	101804	17824
P3890_PCD_24082022-0	6021802	362968	48643	4102	6920
P3590_PCD_20052022-0	5133196	1011439	178151	84206	18791
P3490_PCD_21022022-0	5934599	809397	122012	7979	11226
P3390_PCD_30092020-0	4953694	1596765	149337	85172	28214
P3390_PCD_19082024-0	5047923	1592474	152154	4526	16105
P3390_PCD_08032024-0	5805107	964841	129792	68742	18790
P3090_PCD_20072020-0	6037369	694194	31117	30209	20293
P2990_PCD_20012023-0	6033892	734087	31895	7916	5392
P2990_PCD_14072020-0	6011327	721331	31876	28522	20126
P2890_PCD_12062020-0	5778427	871172	62659	58122	42802
P2790_PCD_09062020-0	5911012	772909	39161	69966	20134
P2690_PCD_05112019-0	5940338	783776	41578	37072	10418
P2590_PCD_29102019-0	5965241	763468	38498	33546	12429
P2590_PCD_12072023-0	5902894	855572	44645	4764	5307
P2590_PCD_03072024-0	5904928	855281	44654	3357	4962
P2590_PCD_02022023-0	5851577	856135	44598	55133	5739
P2090_PCD_22032022-0	6129722	544899	32231	99202	7128
P2090_PCD_18012021-0	6068765	544476	32085	160104	7752
P2090_PCD_17012024-0	6171087	546582	32382	56441	6690
P2090_PCD_15032023-0	6220940	545398	32489	9660	4695
P2090_PCD_03082020-0	6198122	541106	32501	30580	10873
P1990_PCD_28042023-0	6149368	467749	34196	41243	7697
P1990_PCD_24032022-0	6115348	464072	34142	81687	5004
P1990_PCD_15032024-0	6190735	466083	34440	3955	5040
P1890_PCD_22022022-0	5861451	848348	124061	42192	9161
P1890_PCD_04102022-0	5831006	855458	123968	61922	12859
P1590_PCD_10012022-0	6113908	487736	36587	58072	3950
P1490_PCD_27082020-0	6123411	407389	43863	101304	6580
P1490_PCD_09122016-0	6024523	772017	113838	47137	29757
P1090_PCD_23092021-0	5898289	809112	44440	45593	15748
P0890_PCD_31102022-1	5965443	787135	40768	11298	8538
P0890_PCD_31102022-0	5954869	789438	40673	10140	18062
P0890_PCD_27092023-0	5979676	780831	41265	4472	6938
P0890_PCD_18032022-0	5873137	786032	41002	103498	9513
P0890_PCD_08062021-0	5948659	784941	41309	30764	7509
P0790_PCD_28102024-0	5995755	755127	53802	3560	4938
P0790_PCD_27062022-1	5880996	759002	53451	107482	12251
P0790_PCD_27062022-0	5863228	757240	53551	130212	8951
P0790_PCD_20062024-0	5992986	755764	54097	4552	5783
P0790_PCD_19052020-0	5975304	749801	54017	20645	13415
P0790_PCD_07012022-0	5924957	756235	54192	68818	8980
P0690_PCD_29012021-0	5865827	743003	42458	154934	6960
P0690_PCD_19072024-0	6018972	742883	42930	4958	3439
P0690_PCD_18022022-0	5940599	745207	42725	75357	9294
P0690_PCD_14042023-0	5944863	744560	42917	74694	6148
P0690_PCD_10122023-0	6018865	743027	43653	4595	3042
P0290_PCD_28022016-1	6125560	387735	37775	41669	32003
P0290_PCD_28022016-0	6154545	384081	38451	34759	12906
