Gene	P1490_PCD_09122016-0	P1490_PCD_27082020-0	P3390_PCD_08032024-0	P3390_PCD_19082024-0	P3390_PCD_30092020-0	P4703_CF_16022007-0	P4703_CF_18022015-0	P4703_CF_XXXX2000-0	P6004_CF_19062007-0	P6004_CF_28052021-0	P6004_CF_30102015-0	NumAsm_WiGene	NumAsm_WiGene_DNASeq
hemL	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6571	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6570	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6569	1	1	1	1	1	1	1	1	1	1	1	11	11
ruvX	1	1	1	1	1	1	1	1	1	1	1	11	11
fadH	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6565	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6564	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6562	1	1	1	1	1	1	1	1	1	1	1	11	11
dLH	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6561	1	1	1	1	1	1	1	1	1	1	1	11	11
algH	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6560	1	1	1	1	1	1	1	1	1	1	1	11	11
fadM	1	1	1	1	1	1	1	1	1	1	1	11	11
norV	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6559	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6558	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6557	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6556	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6555	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6553	1	1	1	1	1	1	1	1	1	1	1	11	11
proS	1	1	1	1	1	1	1	1	1	1	1	11	11
dltB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6549	1	1	1	1	1	1	1	1	1	1	1	11	11
rppH	1	1	1	1	1	1	1	1	1	1	1	11	11
slyB	1	1	1	1	1	1	1	1	1	1	1	11	11
tyrS	1	1	1	1	1	1	1	1	1	1	1	11	11
erpA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6544	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6540	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6534	1	1	1	1	1	1	1	1	1	1	1	11	11
tauB~~~cmpD	1	1	1	1	1	1	1	1	1	1	1	11	11
prmA	1	1	1	1	1	1	1	1	1	1	1	11	11
lrgA~~~cidA	1	1	1	1	1	1	1	1	1	1	1	11	11
ybgC	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6531	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6530	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6529	1	1	1	1	1	1	1	1	1	1	1	11	11
lysR~~~gltC	1	1	1	1	1	1	1	1	1	1	1	11	11
gtrA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6526	1	1	1	1	1	1	1	1	1	1	1	11	11
ybhB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6525	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6524	1	1	1	1	1	1	1	1	1	1	1	11	11
tolR	1	1	1	1	1	1	1	1	1	1	1	11	11
lgt	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6520	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6518	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6514	1	1	1	1	1	1	1	1	1	1	1	11	11
yeaH	1	1	1	1	1	1	1	1	1	1	1	11	11
pal	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6512	1	1	1	1	1	1	1	1	1	1	1	11	11
glyA	1	1	1	1	1	1	1	1	1	1	1	11	11
cytC552	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6508	1	1	1	1	1	1	1	1	1	1	1	11	11
ycfP	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6506	1	1	1	1	1	1	1	1	1	1	1	11	11
lrgB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6503	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6502	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6501	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6500	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6498	1	1	1	1	1	1	1	1	1	1	1	11	11
ribD	1	1	1	1	1	1	1	1	1	1	1	11	11
rplM	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6496	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6495	1	1	1	1	1	1	1	1	1	1	1	11	11
nrdB	1	1	1	1	1	1	1	1	1	1	1	11	11
fecE	1	1	1	1	1	1	1	1	1	1	1	11	11
yggT	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6494	1	1	1	1	1	1	1	1	1	1	1	11	11
nadQ~~~nrtR	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6491	1	1	1	1	1	1	1	1	1	1	1	11	11
mpl	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6490	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6489	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6487	1	1	1	1	1	1	1	1	1	1	1	11	11
rpsI	1	1	1	1	1	1	1	1	1	1	1	11	11
accB	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6486	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6484	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6483	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6482	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6481	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6480	1	1	1	1	1	1	1	1	1	1	1	11	11
yjgA	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6477	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6476	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6474	1	1	1	1	1	1	1	1	1	1	1	11	11
gltS	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6473	1	1	1	1	1	1	1	1	1	1	1	11	11
aroQ	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6469	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6468	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6467	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6466	1	1	1	1	1	1	1	1	1	1	1	11	11
group_6464	1	1	1	1	1	1	1	1	1	1	1	11	11
