DIST	P1890_PCD_22022022.0	P1890_PCD_04102022.0	P3490_PCD_21022022.0
P1890_PCD_22022022.0	0	585	53400
P1890_PCD_04102022.0	55	0	53470
P3490_PCD_21022022.0	1229	1232	0
