GeneID	NS_ClusterName	NS_ClusterNum	NS_ClusterID
group_11143	group_11143---group_6093	0	NS_0
group_6093	group_11143---group_6093	0	NS_0
group_5658	group_5658---group_108---group_5669	1	NS_1
group_108	group_5658---group_108---group_5669	1	NS_1
group_5669	group_5658---group_108---group_5669	1	NS_1
group_4641	group_4641---group_13333	2	NS_2
group_13333	group_4641---group_13333	2	NS_2
group_2178	group_2178---pcaF	3	NS_3
pcaF	group_2178---pcaF	3	NS_3
group_12331	group_12331---group_7925---group_10449---group_15717	4	NS_4
group_7925	group_12331---group_7925---group_10449---group_15717	4	NS_4
group_10449	group_12331---group_7925---group_10449---group_15717	4	NS_4
group_15717	group_12331---group_7925---group_10449---group_15717	4	NS_4
group_8518	group_8518---group_13570	5	NS_5
group_13570	group_8518---group_13570	5	NS_5
group_12552	group_12552---group_3484	6	NS_6
group_3484	group_12552---group_3484	6	NS_6
group_15238	group_15238---group_8128	7	NS_7
group_8128	group_15238---group_8128	7	NS_7
group_15724	group_15724---group_15723	8	NS_8
group_15723	group_15724---group_15723	8	NS_8
mdtP	mdtP---group_10776	9	NS_9
group_10776	mdtP---group_10776	9	NS_9
metG	metG---group_1442	10	NS_10
group_1442	metG---group_1442	10	NS_10
group_3453	group_3453---group_1065	11	NS_11
group_1065	group_3453---group_1065	11	NS_11
group_2473	group_2473---group_9224	12	NS_12
group_9224	group_2473---group_9224	12	NS_12
group_1991	group_1991---group_4866	13	NS_13
group_4866	group_1991---group_4866	13	NS_13
macA	macA---group_5137	14	NS_14
group_5137	macA---group_5137	14	NS_14
potB	potB---group_9388	15	NS_15
group_9388	potB---group_9388	15	NS_15
group_397	group_397---group_16029	16	NS_16
group_16029	group_397---group_16029	16	NS_16
group_13488	group_13488---group_14433	17	NS_17
group_14433	group_13488---group_14433	17	NS_17
group_12814	group_12814---group_11634	18	NS_18
group_11634	group_12814---group_11634	18	NS_18
group_10231	group_10231---group_573	19	NS_19
group_573	group_10231---group_573	19	NS_19
group_4014	group_4014---group_9559	20	NS_20
group_9559	group_4014---group_9559	20	NS_20
