GeneID	NS_ClusterName	NS_ClusterNum	NS_ClusterID
group_2069	group_2069---group_6953---group_7857---group_2949	0	NS_0
group_6953	group_2069---group_6953---group_7857---group_2949	0	NS_0
group_7857	group_2069---group_6953---group_7857---group_2949	0	NS_0
group_2949	group_2069---group_6953---group_7857---group_2949	0	NS_0
group_5337	group_5337---group_5338	1	NS_1
group_5338	group_5337---group_5338	1	NS_1
group_5139	group_5139---group_5147---group_16	2	NS_2
group_5147	group_5139---group_5147---group_16	2	NS_2
group_16	group_5139---group_5147---group_16	2	NS_2
group_7453	group_7453---group_4992	3	NS_3
group_4992	group_7453---group_4992	3	NS_3
group_4972	group_4972---group_459---group_4403	4	NS_4
group_459	group_4972---group_459---group_4403	4	NS_4
group_4403	group_4972---group_459---group_4403	4	NS_4
pcaF	pcaF---group_4187	5	NS_5
group_4187	pcaF---group_4187	5	NS_5
glcE	glcE---group_4727	6	NS_6
group_4727	glcE---group_4727	6	NS_6
group_3399	group_3399---group_6220	7	NS_7
group_6220	group_3399---group_6220	7	NS_7
group_2664	group_2664---mdtP	8	NS_8
mdtP	group_2664---mdtP	8	NS_8
metG	metG---group_397	9	NS_9
group_397	metG---group_397	9	NS_9
group_4600	group_4600---group_279	10	NS_10
group_279	group_4600---group_279	10	NS_10
group_802	group_802---atuA	11	NS_11
atuA	group_802---atuA	11	NS_11
group_665	group_665---group_6623	12	NS_12
group_6623	group_665---group_6623	12	NS_12
group_1756	group_1756---group_3356	13	NS_13
group_3356	group_1756---group_3356	13	NS_13
group_4127	group_4127---group_5046	14	NS_14
group_5046	group_4127---group_5046	14	NS_14
group_1268	group_1268---macA	15	NS_15
macA	group_1268---macA	15	NS_15
group_5109	group_5109---group_3152	16	NS_16
group_3152	group_5109---group_3152	16	NS_16
group_3012	group_3012---group_1172	17	NS_17
group_1172	group_3012---group_1172	17	NS_17
group_4872	group_4872---kdsC	18	NS_18
kdsC	group_4872---kdsC	18	NS_18
group_7499	group_7499---group_3292	19	NS_19
group_3292	group_7499---group_3292	19	NS_19
group_2830	group_2830---group_5252	20	NS_20
group_5252	group_2830---group_5252	20	NS_20
group_447	group_447---group_5077	21	NS_21
group_5077	group_447---group_5077	21	NS_21
group_6884	group_6884---group_140	22	NS_22
group_140	group_6884---group_140	22	NS_22
group_1270	group_1270---group_4796	23	NS_23
group_4796	group_1270---group_4796	23	NS_23
group_8107	group_8107---group_7610	24	NS_24
group_7610	group_8107---group_7610	24	NS_24
