RecordID_1	RecordID_2	Record1_Len	Record2_Len	MaxJaccardContain
group_6093	group_11143	1410	4224	1.0
group_5669	group_5658	3177	2016	1.0
group_4641	group_13333	165	966	1.0
group_2178	pcaF	393	1209	1.0
group_15717	group_7925	2955	924	1.0
group_8518	group_13570	2301	1752	0.9686411149825784
group_12552	group_3484	1290	291	0.9540229885057471
group_15238	group_8128	627	1815	0.9478991596638655
group_15724	group_15723	120	132	0.9333333333333333
mdtP	group_10776	1500	795	0.918954248366013
metG	group_1442	2067	1779	0.9176672384219554
group_3453	group_1065	291	2031	0.9080459770114943
group_2473	group_9224	1491	10089	0.893908281998631
group_1991	group_4866	408	114	0.8809523809523809
macA	group_5137	303	1152	0.8791208791208791
group_15717	group_12331	2955	738	0.8771186440677966
group_108	group_5658	4122	2016	0.8549848942598187
potB	group_9388	1917	1047	0.8525073746312685
group_397	group_16029	2625	672	0.8504672897196262
group_13488	group_14433	12456	654	0.8381410256410257
group_11634	group_12814	765	1197	0.8367346938775511
group_10231	group_573	12303	2439	0.8252386882523869
group_9559	group_4014	1149	240	0.8238095238095238
group_10449	group_12331	7932	738	0.8036723163841808
group_5668	group_15212	1041	1971	0.7992087042532147
group_6023	group_9224	1011	10089	0.799184505606524
fecI~~~fecR	group_505	1497	522	0.7967479674796748
group_10449	group_15717	7932	2955	0.7944596443228454
group_11157	group_5620	6054	3552	0.7904599659284497
group_5945	kipR~~~iclR	573	1287	0.7863720073664825
group_5771	group_3863	1029	255	0.7822222222222223
group_5606	group_9224	2058	10089	0.76232741617357
group_16042	group_8126	933	792	0.7559055118110236
group_8898	group_16402	1578	1707	0.7538759689922481
group_12331	group_40	738	7134	0.7457627118644068
group_9540	group_10358	855	816	0.7417302798982188
group_10449	group_7925	7932	924	0.7348993288590604
group_8831	group_16318	1620	1515	0.7306397306397306
group_1218	group_11792	468	1284	0.728310502283105
group_11316	lysR	924	516	0.7222222222222222
mdtB	group_11172	3219	783	0.7171314741035857
